Modelo;Accuracy;Precision;Recall;F1-Score;AUC-ROC;F1-Score_std;AUC-ROC_std
RandomForest;0.6719760225814077;0.6741376415633394;0.6706403546138592;0.6659572022239573;0.6885378693562572;0.03563983166700324;0.026323232160678618
LightGBM;0.6679507089238721;0.6662130851404884;0.6667073394209311;0.6630609554816426;0.6908903371374615;0.011550990550485534;0.026243503917249132
LogisticRegression;0.6473672286855582;0.6515809060036668;0.6524396074531598;0.6444581806831087;0.7144038158011811;0.05470055527511932;0.04656315394849363
XGBoost;0.6449783531607394;0.6397317479491909;0.6387435239127136;0.6374865855686259;0.68839611057956;0.03607598778731319;0.04476592868664648
GaussianNB;0.6037954623527606;0.6224579605259685;0.6180243476849065;0.6016939317773992;0.6766783688114223;0.043269621393351214;0.04868585736392501
AdaBoost;0.6066831378765205;0.6189748386337152;0.6135856460117876;0.6000729508868932;0.658182189954801;0.03881601956646249;0.05675474640872937
