Modelo;Test_season;Accuracy;Precision;Recall;F1-Score;AUC-ROC;n_train;n_test
RandomForest;2024_2025;0.7209302325581395;0.7109375;0.7042016806722688;0.7066098081023454;0.7204481792717087;717;172
XGBoost;2024_2025;0.6918604651162791;0.6800995024875622;0.6774509803921569;0.6785500193941958;0.7563025210084033;717;172
LightGBM;2024_2025;0.686046511627907;0.6742081447963801;0.6725490196078432;0.6732798649219081;0.7289915966386554;717;172
LogisticRegression;2024_2025;0.627906976744186;0.6238482384823849;0.6280112044817927;0.6228070175438596;0.7099439775910364;717;172
AdaBoost;2024_2025;0.6453488372093024;0.6288435578221089;0.6203081232492997;0.6217054263565891;0.6738095238095239;717;172
GaussianNB;2024_2025;0.5755813953488372;0.5889347079037801;0.5906162464985993;0.5752224364829663;0.6242296918767507;717;172
