tm_id;ss_id;nombre_jugador;season;accurateCrosses_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accuratePassesPercentage;aerialDuelsWon_p90;assists_p90;blockedShots_p90;clearances_p90;contexto_equipo_top;dribbledPast_p90;edad;fouls_p90;goalConversionPercentage;goals_p90;keyPasses_p90;minutesPlayed;nac_Argentina;nac_Colombia;nac_Perú;nac_Uruguay;offsides_p90;penaltyConversionPercentage;pos_Delantero;pos_Mediocampista;proviene_club_grande;proviene_liga_extranjera;shotsOffTarget_p90;shotsOnTarget_p90;successfulDribbles_p90;wasFouled_p90;yellowCards_p90
55164;41834;Tomás Costa;2017_2018;1.1214953271028036;8.130841121495326;1.822429906542056;73.46938775510205;1.1214953271028036;0.0;0.5607476635514018;2.5233644859813085;1;2.663551401869159;32;0.4205607476635514;0.0;0.0;0.9813084112149533;642.0;1;0;0;0;0.14018691588785046;0.0;0;1;0;1;0.7009345794392523;0.14018691588785046;0.5607476635514018;1.2616822429906542;0.14018691588785046
56032;34134;Omar Merlo;2017_2018;0.0;2.7142857142857144;3.4285714285714284;74.36823104693141;1.8571428571428572;0.0;0.07142857142857142;4.785714285714286;1;0.5714285714285714;30;1.5714285714285714;0.0;0.0;0.21428571428571427;1260.0;1;0;0;0;0.14285714285714285;0.0;0;0;0;1;0.21428571428571427;0.07142857142857142;0.7857142857142857;1.0;0.35714285714285715
76717;249305;Pablo Míguez;2017_2018;0.0;6.011209715086409;2.606258757589911;81.56359393232205;1.4292386735170481;0.08407286314806166;0.25221858944418496;1.5553479682391407;1;1.1349836524988324;30;2.942550210182158;9.523809523809524;0.08407286314806166;0.5044371788883699;2141.0;0;0;0;1;0.0;0.0;0;0;0;1;0.4624007473143391;0.16814572629612332;0.37832788416627744;0.7146193367585241;0.33629145259224663
84111;355874;Róbinson Aponzá;2017_2018;0.5844155844155844;11.454545454545455;1.051948051948052;81.25;0.0;0.35064935064935066;0.5844155844155844;0.0;0;0.35064935064935066;28;1.9870129870129871;4.3478260869565215;0.11688311688311688;1.6363636363636365;1540.0;0;1;0;0;0.8181818181818182;0.0;1;0;1;1;1.1688311688311688;0.935064935064935;1.6363636363636365;3.272727272727273;0.23376623376623376
89317;339855;Bernardo Cuesta;2017_2018;0.20111731843575417;7.4413407821229045;0.7039106145251397;68.37209302325581;0.20111731843575417;0.10055865921787709;0.40223463687150834;0.7039106145251397;1;0.3016759776536313;28;2.212290502793296;4.761904761904762;0.10055865921787709;1.2067039106145252;895.0;1;0;0;0;1.2067039106145252;0.0;1;0;0;1;1.106145251396648;0.6033519553072626;0.0;0.5027932960893855;0.20111731843575417
90674;147293;Luis Cardoza;2017_2018;0.0;0.27635619242579323;1.842374616171955;72.50996015936255;2.3950870010235414;0.0;0.0;4.145342886386898;0;0.27635619242579323;32;1.4738996929375638;12.5;0.09211873080859774;0.0;977.0;0;1;0;0;0.27635619242579323;0.0;0;0;1;1;0.46059365404298874;0.27635619242579323;0.09211873080859774;0.18423746161719548;0.46059365404298874
102810;248291;Mario Velarde;2018_2019;1.6428571428571428;9.714285714285714;1.2857142857142858;75.39149888143176;0.7142857142857143;0.14285714285714285;0.21428571428571427;0.42857142857142855;0;0.6428571428571429;27;2.2857142857142856;6.25;0.07142857142857142;1.6428571428571428;1260.0;0;0;1;0;0.14285714285714285;0.0;0;1;0;0;0.5;0.42857142857142855;1.4285714285714286;1.1428571428571428;0.07142857142857142
103111;873694;Christian Laura;2018_2019;0.5677290836653386;3.824701195219123;1.0756972111553784;78.21011673151752;1.1055776892430278;0.0;0.2091633466135458;1.4641434262948205;0;0.3286852589641434;30;1.6733067729083664;4.545454545454546;0.0298804780876494;0.7768924302788844;3012.0;0;0;1;0;0.0;0.0;0;0;1;1;0.2390438247011952;0.2091633466135458;0.6573705179282868;0.5677290836653386;0.149402390438247
104392;249511;Juan Pablo Vergara;2018_2019;2.935273457099849;8.038133467134973;1.6708479678876065;72.06703910614524;0.9031610637230305;0.5418966382338183;0.5870546914199699;0.1806322127446061;0;1.038635223281485;33;1.716006021073758;8.571428571428571;0.27094831911690914;3.612644254892122;1993.0;0;0;1;0;0.8128449573507275;100.0;1;0;0;1;1.3095835423983944;1.2644254892122428;0.22579026593075763;2.980431510286001;0.13547415955845457
119365;882851;Joazhiño Arroé;2018_2019;1.3265776140027636;12.892676186089359;3.1091662828189772;79.74308300395256;0.24873330262551818;0.16582220175034545;0.41455550437586364;0.24873330262551818;1;0.9949332105020727;26;0.8291110087517273;9.090909090909092;0.16582220175034545;2.3629663749424226;2171.0;0;0;1;0;0.29018885306310455;0.0;0;1;0;1;0.6218332565637954;0.7876554583141409;2.9018885306310453;2.4873330262551816;0.20727775218793182
