Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.5700934579439252;0.6220789685737308;0.6101017441860466;0.5670302603800141;0.6140988372093024;AdaBoost;2018_2019+2019_2020;2020_2021;241;107
0.6458333333333334;0.6705989110707804;0.6678571428571429;0.6456795484151108;0.7133928571428573;AdaBoost;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.5537190082644629;0.5571587125416204;0.5563765736179529;0.5529556650246306;0.5844280240831965;AdaBoost;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.618421052631579;0.6161940431603352;0.6132846461484959;0.6129938542581211;0.7051817075291253;AdaBoost;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.6453488372093024;0.6288435578221089;0.6203081232492997;0.6217054263565891;0.6738095238095239;AdaBoost;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
