minutesPlayed;tm_id;ss_id;season_origen;season_futuro_id;tipo_dato;accuratePassesPercentage;goalConversionPercentage;penaltyConversionPercentage;goals_p90;assists_p90;shotsOnTarget_p90;shotsOffTarget_p90;blockedShots_p90;keyPasses_p90;successfulDribbles_p90;offsides_p90;clearances_p90;dribbledPast_p90;fouls_p90;wasFouled_p90;aerialDuelsWon_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accurateCrosses_p90;yellowCards_p90
2278;55164;41834;2017_2018;16007;futuro_real;79.19303797468355;3.225806451612903;0.0;0.03950834064969271;0.03950834064969271;0.3160667251975417;0.6321334503950834;0.276558384547849;0.9877085162423178;0.3160667251975417;0.07901668129938542;2.805092186128183;2.2914837576821774;1.4618086040386304;0.276558384547849;2.054433713784021;10.074626865671643;4.543459174714662;0.4741000877963126;0.15803336259877085
3803;56032;34134;2017_2018;16007;futuro_real;88.75;6.25;0.0;0.023665527215356297;0.0;0.09466210886142519;0.2129897449382067;0.0709965816460689;0.236655272153563;0.4259794898764134;0.023665527215356297;4.875098606363397;0.4969760715224823;1.3016039968445965;0.8519589797528268;2.295556139889561;4.09413620825664;5.135419405732317;0.0;0.236655272153563
2488;76717;249305;2017_2018;16007;futuro_real;83.11787072243347;0.0;0.0;0.0;0.1085209003215434;0.1085209003215434;0.6511254019292604;0.2170418006430868;1.0490353697749195;0.3617363344051447;0.07234726688102894;1.5192926045016077;1.4107717041800643;2.5321543408360125;0.9043408360128617;2.4959807073954985;7.307073954983922;2.315112540192926;0.0;0.3255627009646302
99;84111;355874;2017_2018;16007;futuro_real;81.81818181818183;100.0;0.0;0.9090909090909091;0.0;0.9090909090909091;0.0;0.0;0.0;1.8181818181818181;1.8181818181818181;0.0;0.9090909090909091;0.9090909090909091;2.727272727272727;0.9090909090909091;6.363636363636363;0.9090909090909091;0.0;0.0
2466;89317;339855;2017_2018;16007;futuro_real;75.0924784217016;13.402061855670103;66.66666666666666;0.4744525547445256;0.10948905109489052;1.2773722627737227;1.6788321167883213;0.5839416058394161;1.5328467153284673;0.5109489051094891;1.2408759124087592;1.1678832116788322;0.6204379562043796;2.664233576642336;0.8759124087591241;0.5839416058394161;10.182481751824819;1.2043795620437956;0.10948905109489052;0.43795620437956206
2949;90674;147293;2017_2018;16007;futuro_real;77.69607843137256;7.317073170731707;0.0;0.09155645981688708;0.0;0.3967446592065107;0.7324516785350966;0.12207527975584945;0.18311291963377416;0.12207527975584945;0.09155645981688708;4.760935910478128;0.21363173957273654;1.7395727365208546;0.5188199389623601;3.0518819938962363;1.007121057985758;1.8311291963377416;0.0;0.21363173957273654
657;102810;248291;2018_2019;22349;futuro_real;80.3763440860215;11.76470588235294;0.0;0.273972602739726;0.4109589041095891;0.8219178082191781;0.684931506849315;0.8219178082191781;3.0136986301369864;3.0136986301369864;0.4109589041095891;0.0;0.4109589041095891;0.8219178082191781;1.9178082191780823;0.4109589041095891;20.958904109589042;1.9178082191780823;2.191780821917808;0.0
1763;103111;873694;2018_2019;22349;futuro_real;75.049115913556;0.0;0.0;0.0;0.0;0.10209869540555871;0.2552467385138968;0.05104934770277936;0.5615428247305729;0.2552467385138968;0.0;1.6846284741917188;0.3573454339194555;1.7356778218944982;0.5615428247305729;1.1741349971639252;5.155984117980715;1.429381735677822;0.30629608621667614;0.2552467385138968
995;104392;249511;2018_2019;22349;futuro_real;77.1604938271605;13.043478260869565;100.0;0.542713567839196;0.36180904522613067;1.7185929648241207;1.5376884422110553;0.9045226130653267;2.442211055276382;0.542713567839196;0.7236180904522613;0.271356783919598;0.45226130653266333;1.4472361809045227;3.3467336683417086;0.45226130653266333;10.402010050251256;2.8040201005025125;1.7185929648241207;0.45226130653266333
1565;119365;882851;2018_2019;22349;futuro_real;79.66101694915254;8.333333333333332;0.0;0.23003194888178913;0.46006389776357826;0.6325878594249201;1.2651757188498403;0.8626198083067093;2.3003194888178915;2.472843450479233;0.17252396166134185;0.11501597444089456;0.3450479233226837;1.207667731629393;2.3578274760383384;0.402555910543131;12.364217252396166;2.9904153354632586;1.4376996805111821;0.17252396166134185
2086;123418;107388;2018_2019;22349;futuro_real;85.58951965065502;0.0;0.0;0.0;0.04314477468839885;0.0862895493767977;0.5177372962607862;0.04314477468839885;1.5100671140939599;0.30201342281879195;0.04314477468839885;0.5608820709491851;0.9491850431447747;0.9491850431447747;2.5023969319271333;0.4314477468839885;11.821668264621286;4.012464046021093;0.1725790987535954;0.04314477468839885
2109;126019;83951;2018_2019;22349;futuro_real;77.90697674418605;12.5;0.0;0.17069701280227595;0.21337126600284495;0.6827880512091038;0.4267425320056899;0.25604551920341395;1.6216216216216217;1.9203413940256044;0.25604551920341395;0.12802275960170698;0.8108108108108109;1.1522048364153628;3.1578947368421053;0.4694167852062589;11.735419630156471;1.1095305832147937;0.6401137980085349;0.12802275960170698
2456;135139;839571;2018_2019;22349;futuro_real;84.50331125827815;0.0;0.0;0.0;0.0;0.0;0.1465798045602606;0.03664495114006515;0.4397394136807818;0.4030944625407166;0.0;1.7223127035830619;1.7956026058631922;1.6856677524429968;1.7956026058631922;0.989413680781759;5.020358306188926;2.528501628664495;0.0;0.4397394136807818
995;142588;147587;2018_2019;22349;futuro_real;72.97297297297297;28.57142857142857;0.0;0.18090452261306533;0.271356783919598;0.542713567839196;0.09045226130653267;0.0;1.35678391959799;0.271356783919598;0.45226130653266333;0.542713567839196;0.6331658291457286;2.080402010050251;1.2663316582914572;0.7236180904522613;5.608040201005025;1.2663316582914572;0.18090452261306533;0.271356783919598
1992;144111;180071;2018_2019;22349;futuro_real;63.315217391304344;21.052631578947366;100.0;0.3614457831325301;0.18072289156626506;0.7680722891566265;0.7228915662650602;0.22590361445783133;0.8132530120481928;0.22590361445783133;0.3614457831325301;1.0391566265060241;0.6325301204819277;0.9939759036144579;0.858433734939759;3.6144578313253013;3.75;0.45180722891566266;0.045180722891566265;0.09036144578313253
737;149771;339841;2018_2019;22349;futuro_real;86.13861386138613;8.333333333333332;0.0;0.1221166892808684;0.0;0.3663500678426052;0.6105834464043419;0.4884667571234736;0.1221166892808684;0.6105834464043419;0.1221166892808684;1.587516960651289;1.0990502035278156;2.564450474898236;0.8548168249660788;0.7327001356852104;8.059701492537314;2.808683853459973;0.0;0.3663500678426052
543;160317;248215;2018_2019;22349;futuro_real;80.72916666666666;0.0;0.0;0.0;0.0;0.0;0.16574585635359115;0.0;0.16574585635359115;0.0;0.16574585635359115;3.6464088397790055;1.3259668508287292;0.994475138121547;0.8287292817679558;1.6574585635359116;1.8232044198895028;3.4806629834254146;0.0;0.3314917127071823
