nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id;;
Joaquín Lencinas;147133;Monagas SC;Carlos A. Mannucci;345747;15806;384;;
Diego Manicero;54594;Universitario de Deportes;Carlos A. Mannucci;790020;16007;406;;
Joao Villamarín;250482;FBC Melgar;Carlos A. Mannucci;805353;16007;406;;
Pablo de Miranda;67218;Blooming Santa Cruz;Carlos A. Mannucci;105848;15809;480;;
Renzo Sheput;94766;Sport Boys Association;Carlos A. Mannucci;46983;16007;406;;
Josimar Vargas;214624;Sport Boys Association;Carlos A. Mannucci;345787;16007;406;;
Jean Piere Fuentes;186903;FBC Melgar;Carlos A. Mannucci;248229;16007;406;;
Tulio Etchemaite;201397;FBC Melgar;Carlos A. Mannucci;34133;16007;406;;
Ronaldo Andía;434562;Rosario FC;Pirata FC;883279;16007;406;;
Jimmy Valoyes;482452;CD Águila;Pirata FC;922007;16044;11539;;
Flavio Ramírez;420949;Club Sporting Cristal;Pirata FC;836281;16007;406;;
Mario Palomino;375364;Comerciantes Unidos;Pirata FC;805259;16007;406;;
Luis Acuy;528898;Universidad San Martín de Porres;Pirata FC;894464;16007;406;;
Luis Llontop;82578;Rosario FC;Pirata FC;38005;16007;406;;
Leonel Solís;434955;Academia Deportiva Cantolao;Pirata FC;883293;16007;406;;
Luis Tejada;45474;Sport Boys Association;Pirata FC;11583;16007;406;;
Jeferson Collazos;477383;Universidad Técnica de Cajamarca;Deportivo Binacional;883388;16007;406;;
Hervé Kambou;59947;Academia Deportiva Cantolao;Deportivo Binacional;38516;16007;406;;
Ángel Ojeda;149771;CD Unión Comercio;Deportivo Binacional;339841;16007;406;;
Donald Millán;73705;Universidad Técnica de Cajamarca;Deportivo Binacional;249599;16007;406;;
Ramón Córdoba;362579;Jaguares de Córdoba;Deportivo Binacional;830020;16044;11539;;
Ramón Córdoba;362579;Jaguares de Córdoba;Deportivo Binacional;830020;19511;11536;;
Juan Pablo Vergara;104392;Universidad Técnica de Cajamarca;Deportivo Binacional;249511;16007;406;;
Óscar Vílchez;123418;Club Alianza Lima;Alianza Universidad;107388;16007;406;;
Julio Landauri;82577;Real Garcilaso;Alianza Universidad;38024;16007;406;;
Róbinson Aponzá;84111;Jaguares de Córdoba;Alianza Universidad;355874;16007;406;;
Róbinson Aponzá;84111;Jaguares de Córdoba;Alianza Universidad;355874;19511;11536;;
Diego Morales;26713;Real Garcilaso;Alianza Universidad;888471;16007;406;;
Giordano Mendoza;250751;Real Garcilaso;Alianza Universidad;846375;16007;406;;
Rolando Bogado;73609;Ayacucho FC;Alianza Universidad;33578;16007;406;;
Alejandro Ramos;582319;Sport Boys Association;Alianza Universidad;924932;16007;406;;
Gianmarco Gambetta;201043;Club Alianza Lima;Alianza Universidad;358202;16007;406;;
Luis Garro;473579;Club Alianza Lima;CD Unión Comercio;876928;16007;406;;
Mario Velarde;102810;Sport Huancayo;CD Unión Comercio;248291;16007;406;;
Hugo Ángeles;224652;Deportivo Binacional;CD Unión Comercio;925176;16007;406;;
Ronald Ruiz;260105;Comerciantes Unidos;CD Unión Comercio;805336;16007;406;;
Javier Núñez;325696;Universitario de Deportes;Real Garcilaso;805056;16007;406;;
Pablo Míguez;76717;FBC Melgar;Real Garcilaso;249305;16007;406;;
José Canova;211417;Rosario FC;Real Garcilaso;18305;16007;406;;
Damián Ísmodes;63451;Sport Boys Association;Real Garcilaso;26176;16007;406;;
Andrés Robles;168987;San Luis de Quillota;Real Garcilaso;324939;15995;11653;;
Willy Rivas;82315;Comerciantes Unidos;Real Garcilaso;44904;16007;406;;
Paulo Goyoneche;250929;Rosario FC;Real Garcilaso;883298;16007;406;;
Hernán Rengifo;51225;FBC Melgar;Real Garcilaso;35621;16007;406;;
Horacio Benincasa;260318;Universitario de Deportes;Real Garcilaso;338883;16007;406;;
Milton Benítez;99520;Deportivo Binacional;Sport Huancayo;805425;16007;406;;
José Carlos Fernández;68910;Deportivo Municipal;Sport Huancayo;45882;16007;406;;
Víctor Balta;82562;Deportivo Binacional;Sport Huancayo;38023;16007;406;;
Jorge Bazán;176400;Universidad Técnica de Cajamarca;Sport Huancayo;220931;16007;406;;
Salomón Libman;90230;FBC Melgar;Sport Huancayo;107307;16007;406;;
Carlos Caraza;581174;Deportivo Binacional;Sport Huancayo;888479;16007;406;;
John Fajardo;82570;Deportivo Binacional;Sport Huancayo;924643;16007;406;;
Oshiro Takeuchi;357124;Academia Deportiva Cantolao;Sport Huancayo;805366;16007;406;;
Koichi Aparicio;250915;CD Unión Comercio;Sport Huancayo;358194;16007;406;;
Alexis Rojas;398023;Sport Huancayo;Universidad César Vallejo;836280;16007;406;;
Óscar Guerra;160317;Comerciantes Unidos;Ayacucho FC;248215;16007;406;;
Wilmer Aguirre;41301;CD Unión Comercio;Ayacucho FC;26884;16007;406;;
Éver Chávez;142588;Comerciantes Unidos;Ayacucho FC;147587;16007;406;;
Sidney Faiffer;94440;Sport Boys Association;Ayacucho FC;125113;16007;406;;
Christian Laura;103111;Deportivo Binacional;Ayacucho FC;873694;16007;406;;
Ernest Nungaray;169992;Sport Boys Association;Ayacucho FC;786311;16007;406;;
Carlos Grados;330687;Club Sporting Cristal;Ayacucho FC;790021;16007;406;;
Luis Trujillo;84349;Sport Huancayo;Ayacucho FC;47413;16007;406;;
Diego Minaya;94741;Universidad Técnica de Cajamarca;Ayacucho FC;169925;16007;406;;
Jesús Mendieta;515413;Club Sporting Cristal;Ayacucho FC;874981;16007;406;;
Luis Carranza;483713;Club Sporting Cristal;Ayacucho FC;882860;16007;406;;
Omar Reyes;260103;Comerciantes Unidos;Universidad Técnica de Cajamarca;805351;16007;406;;
Jean Deza;198027;Sport Huancayo;Universidad Técnica de Cajamarca;189207;16007;406;;
Diego Mayora;356379;CA Colón;Universidad Técnica de Cajamarca;847241;16007;406;;
Emiliano Ciucci;56004;Sport Boys Association;Universidad Técnica de Cajamarca;590448;16007;406;;
Rafael Guarderas;250737;Deportivo Municipal;Universidad Técnica de Cajamarca;805065;16007;406;;
David Díaz;260093;CD Unión Comercio;Universidad Técnica de Cajamarca;882838;16007;406;;
Jonathan Segura;317056;CD Unión Comercio;Universidad Técnica de Cajamarca;820980;16007;406;;
Wilder Cartagena;224669;Universidad San Martín de Porres;Club Alianza Lima;378808;17518;11621;;
Felipe Rodríguez;202906;Bolívar La Paz;Club Alianza Lima;339657;13950;155;;
Adrián Ugarriza;325726;Universidad Técnica de Cajamarca;Club Alianza Lima;846366;16007;406;;
Mauricio Affonso;251688;Club Atlético Tucumán;Club Alianza Lima;831815;13950;155;;
