Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.6822429906542056;0.6728723404255319;0.6771438953488372;0.6740143369175627;0.6878633720930233;LightGBM;2018_2019+2019_2020;2020_2021;241;107
0.6458333333333334;0.6587301587301587;0.6607142857142857;0.6456795484151108;0.6571428571428573;LightGBM;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.6611570247933884;0.662287903667214;0.662287903667214;0.6611570247933884;0.6814449917898193;LightGBM;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.6644736842105263;0.6629668780831571;0.6608415927664754;0.661174002360243;0.6990088680229525;LightGBM;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.686046511627907;0.6742081447963801;0.6725490196078432;0.6732798649219081;0.7289915966386554;LightGBM;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
