Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.6448598130841121;0.6289726533628973;0.6268168604651163;0.6276556776556776;0.6511627906976744;XGBoost;2018_2019+2019_2020;2020_2021;241;107
0.59375;0.5955275727312201;0.5982142857142857;0.5915784880549798;0.6450892857142857;XGBoost;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.6694214876033058;0.6711896929824561;0.6709085933223864;0.6693989071038251;0.7003284072249589;XGBoost;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.625;0.6228693181818181;0.6203268996696227;0.620249835634451;0.6890975482524778;XGBoost;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.6918604651162791;0.6800995024875622;0.6774509803921569;0.6785500193941958;0.7563025210084033;XGBoost;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
