Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.5607476635514018;0.5783154121863799;0.5793968023255813;0.5605941459152468;0.6231831395348837;GaussianNB;2018_2019+2019_2020;2020_2021;241;107
0.5833333333333334;0.6428571428571428;0.6214285714285714;0.5767195767195767;0.7169642857142857;GaussianNB;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.6611570247933884;0.6619047619047619;0.6581828133552271;0.6577912671587225;0.7027914614121511;GaussianNB;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.6381578947368421;0.6402777777777777;0.6404973048165536;0.6381422326104835;0.7162232655190401;GaussianNB;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.5755813953488372;0.5889347079037801;0.5906162464985993;0.5752224364829663;0.6242296918767507;GaussianNB;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
