Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.6728971962616822;0.66454802259887;0.6693313953488372;0.66541588492808;0.7096656976744187;LogisticRegression;2018_2019+2019_2020;2020_2021;241;107
0.5625;0.5948766603415561;0.5892857142857143;0.5607843137254902;0.6424107142857143;LogisticRegression;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.7024793388429752;0.7031164570803717;0.7033388067870827;0.7024590163934425;0.7463054187192117;LogisticRegression;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.6710526315789473;0.6715151515151515;0.6722309163623718;0.6708246708246708;0.7636932707355242;LogisticRegression;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.627906976744186;0.6238482384823849;0.6280112044817927;0.6228070175438596;0.7099439775910364;LogisticRegression;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
