tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;season
662706;1049077;40118;Sebastián Cavero;20;Perú;Lateral izquierdo;Atlético Grau;431.0;6.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;26.0;10.0;12.0;3.0;0.0;4.0;5.0;3.0;35.0;119.0;89.0;18.0;7.0;4.0;51.0;3.0;2.0;0.0;2022_2023
489993;875661;40118;Jorge Toledo;26;Perú;Lateral derecho;Ayacucho FC;1225.0;17.0;14.0;1.0;11.0;4.0;6.0;1.0;0.0;9.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;33.0;23.0;25.0;12.0;0.0;23.0;5.0;16.0;44.0;491.0;358.0;83.0;39.0;10.0;220.0;13.0;5.0;0.0;2022_2023
250672;339533;40118;Carlos Solís;31;Perú;Portero;U. San Martín;2250.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;1.0;1.0;4.0;4.0;5.0;563.0;279.0;38.0;179.0;0.0;291.0;0.0;4.0;0.0;2022_2023
142463;154987;40096;Orlando Gaona Lugo;31;Paraguay;Extremo derecho;Nacional;1060.0;16.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2022_2023
142463;154987;42815;Orlando Gaona Lugo;31;Paraguay;Extremo derecho;Nacional;1320.0;20.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2022_2023
738469;1020855;40118;Leonardo Rugel;21;Perú;Defensa central;Universitario;447.0;5.0;4.0;1.0;6.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;8.0;7.0;15.0;6.0;0.0;9.0;3.0;4.0;11.0;238.0;208.0;15.0;26.0;0.0;37.0;0.0;1.0;0.0;2022_2023
664362;931772;40118;Francesco Cavagna;21;Perú;Defensa central;Atlético Grau;323.0;9.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;6.0;8.0;1.0;1.0;4.0;4.0;5.0;10.0;151.0;118.0;9.0;10.0;1.0;45.0;1.0;2.0;0.0;2022_2023
72971;26172;40118;Jair Céspedes;38;Perú;Lateral izquierdo;Dep. Binacional;2677.0;30.0;30.0;1.0;7.0;2.0;1.0;4.0;2.0;30.0;2.0;0.0;36.0;0.0;0.0;0.0;0.0;38.0;39.0;24.0;11.0;1.0;19.0;32.0;24.0;106.0;963.0;805.0;212.0;39.0;20.0;341.0;25.0;3.0;0.0;2022_2023
325709;883309;40118;Steven Rivadeneyra;27;Perú;Portero;CA Mannucci;540.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;91.0;48.0;11.0;27.0;0.0;43.0;0.0;0.0;0.0;2022_2023
473579;876928;40118;Luis Garro;25;Perú;Lateral derecho;Sport Boys;2128.0;26.0;24.0;0.0;14.0;3.0;5.0;6.0;1.0;16.0;2.0;0.0;26.0;0.0;0.0;0.0;3.0;63.0;46.0;47.0;20.0;2.0;34.0;34.0;16.0;122.0;588.0;452.0;109.0;29.0;25.0;309.0;16.0;7.0;0.0;2022_2023
