Accuracy;Precision;Recall;F1-Score;AUC-ROC;Modelo;Train_seasons;Test_season;n_train;n_test
0.6542056074766355;0.648421052631579;0.6537063953488372;0.6481827068337332;0.6954941860465116;RandomForest;2018_2019+2019_2020;2020_2021;241;107
0.6145833333333334;0.6246160596752961;0.6267857142857143;0.6142065819485174;0.6473214285714286;RandomForest;2018_2019+2019_2020+2020_2021;2021_2022;348;96
0.6859504132231405;0.7005462909718229;0.6908866995073891;0.6833333333333333;0.691023535851122;RandomForest;2018_2019+2019_2020+2020_2021+2021_2022;2022_2023;444;121
0.6842105263157895;0.6861673045379989;0.6776212832550861;0.6774535809018567;0.6884020170405146;RandomForest;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023;2023_2024;565;152
0.7209302325581395;0.7109375;0.7042016806722688;0.7066098081023454;0.7204481792717087;RandomForest;2018_2019+2019_2020+2020_2021+2021_2022+2022_2023+2023_2024;2024_2025;717;172
