tm_id;ss_id;nombre_jugador;season;accurateCrosses_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accuratePassesPercentage;aerialDuelsWon_p90;assists_p90;blockedShots_p90;clearances_p90;contexto_equipo_top;dribbledPast_p90;edad;fouls_p90;goalConversionPercentage;goals_p90;keyPasses_p90;minutesPlayed;nac_Argentina;nac_Colombia;nac_Perú;nac_Uruguay;offsides_p90;penaltyConversionPercentage;pos_Delantero;pos_Mediocampista;proviene_club_grande;proviene_liga_extranjera;shotsOffTarget_p90;shotsOnTarget_p90;successfulDribbles_p90;wasFouled_p90;yellowCards_p90;riesgo_fichaje
102810;248291;Mario Velarde;2018_2019;1.6428571428571428;9.714285714285714;1.2857142857142858;75.39149888143176;0.7142857142857143;0.1428571428571428;0.2142857142857142;0.4285714285714285;0;0.6428571428571429;27;2.2857142857142856;6.25;0.0714285714285714;1.6428571428571428;1260.0;0;0;1;0;0.1428571428571428;0.0;0;1;0;0;0.5;0.4285714285714285;1.4285714285714286;1.1428571428571428;0.0714285714285714;1.0
54818;47379;Egidio Arévalo Ríos;2018_2019;0.0;6.125;3.875;78.32512315270937;3.25;0.0;0.125;2.875;0;0.375;36;1.0;0.0;0.0;0.625;720.0;0;0;0;1;0.0;0.0;0;1;1;1;0.25;0.125;0.375;1.875;0.375;1.0
54594;790020;Diego Manicero;2018_2019;1.1688311688311688;10.769944341372913;2.1289424860853434;72.16216216216216;0.4174397031539889;0.1252319109461966;0.8348794063079777;0.3339517625231911;0;0.6679035250463822;33;0.9601113172541744;7.8125;0.2087198515769944;2.2959183673469385;2156.0;1;0;0;0;0.2087198515769944;0.0;0;1;1;1;1.12708719851577;0.7096474953617811;1.7115027829313545;1.7532467532467533;0.0834879406307977;1.0
51225;35621;Hernán Rengifo;2018_2019;0.0826067003212482;5.245525470399265;0.4130335016062413;67.53246753246754;3.345571363010555;0.0826067003212482;0.4543368517668655;0.578246902248738;0;0.2478201009637448;35;0.9912804038549792;17.46031746031746;0.4543368517668655;1.3630105553005964;2179.0;0;0;1;0;0.8673703533731069;0.0;1;0;1;0;1.156493804497476;0.9912804038549792;0.0826067003212482;1.3217072051399723;0.0826067003212482;1.0
482452;922007;Jimmy Valoyes;2018_2019;0.0;2.205466540999057;3.393025447690857;81.49882903981265;2.9688972667295004;0.0;0.0;5.259189443920829;0;0.5089538171536286;31;1.4420358152686144;0.0;0.0;0.2544769085768143;1061.0;0;1;0;0;0.0;0.0;0;0;0;1;0.5937794533459001;0.0848256361922714;0.9330819981149858;1.4420358152686144;0.0;1.0
477383;883388;Jeferson Collazos;2018_2019;0.0614334470989761;6.389078498293515;0.4300341296928327;63.74622356495468;5.7133105802047774;0.0614334470989761;0.3686006825938566;0.4914675767918088;0;0.4914675767918088;27;1.720136518771331;8.0;0.2457337883959044;0.9215017064846416;1465.0;0;1;0;0;1.044368600682594;0.0;1;0;0;1;1.5358361774744027;1.167235494880546;0.7372013651877133;1.2901023890784982;0.1228668941979522;0.0
473579;876928;Luis Garro;2018_2019;0.7852098047361862;4.038221852928958;0.9721645201495638;80.89887640449437;0.7478188616535106;0.0373909430826755;0.074781886165351;1.8695471541337765;0;0.9721645201495638;21;1.944329040299128;0.0;0.0;0.4860822600747819;2407.0;0;0;1;0;0.0;0.0;0;0;1;1;0.0373909430826755;0.0;0.9347735770668882;1.1217282924802658;0.4113003739094308;1.0
45474;11583;Luis Tejada;2018_2019;0.1509433962264151;8.830188679245284;1.0943396226415094;72.94469357249626;2.5660377358490565;0.1509433962264151;0.3018867924528302;1.509433962264151;0;0.2641509433962264;36;2.339622641509434;21.62162162162162;0.6037735849056604;1.7358490566037736;2385.0;0;0;0;0;1.2830188679245282;100.0;1;0;0;1;1.3962264150943395;1.0943396226415094;0.5660377358490566;1.0566037735849056;0.3773584905660377;0.0
440020;874986;Frank Ysique;2018_2019;0.1512605042016807;13.008403361344538;2.722689075630252;93.89312977099236;0.453781512605042;0.0;0.3025210084033614;0.6050420168067228;0;1.6638655462184877;22;1.0588235294117647;0.0;0.0;0.7563025210084034;595.0;0;0;1;0;0.0;0.0;0;1;1;1;0.1512605042016807;0.1512605042016807;0.907563025210084;1.2100840336134455;0.3025210084033614;1.0
434562;883279;Ronaldo Andía;2018_2019;0.3231597845601436;4.976660682226212;1.5188509874326752;75.43859649122807;0.5816876122082586;0.0646319569120287;0.0646319569120287;1.2926391382405746;0;0.6786355475763016;20;1.5834829443447038;0.0;0.0;0.8725314183123878;2785.0;0;0;1;0;0.0323159784560143;0.0;0;0;0;0;0.0969479353680431;0.0323159784560143;0.710951526032316;0.710951526032316;0.1615798922800718;1.0
