tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
55164;41834;13950;Tomás Costa;32;Argentina;Pivote;Olimpo;642.0;10.0;8.0;0.0;10.0;1.0;5.0;4.0;0.0;7.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;12.0;13.0;18.0;19.0;0.0;3.0;9.0;8.0;25.0;294.0;216.0;58.0;13.0;8.0;130.0;10.0;1.0;0.0
139955;220104;13413;Emanuel Herrera;30;Argentina;Delantero centro;CS Emelec;382.0;6.0;4.0;0.0;14.0;6.0;4.0;4.0;0.0;4.0;1.0;1.0;2.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;2.0;0.0;5.0;2.0;9.0;7.0;105.0;71.0;32.0;0.0;1.0;59.0;7.0;1.0;0.0
56032;34134;13475;Omar Merlo;30;Argentina;Defensa central;Huachipato;1260.0;14.0;14.0;0.0;5.0;1.0;3.0;1.0;0.0;3.0;0.0;0.0;11.0;0.0;0.0;0.0;2.0;28.0;39.0;67.0;8.0;0.0;22.0;14.0;26.0;50.0;554.0;412.0;38.0;48.0;0.0;158.0;1.0;5.0;0.0
178114;247807;12882;Yulián Mejía;26;Colombia;Mediocentro;A. Bucaramanga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333089;798277;12825;Miguel Camargo;23;Panamá;Mediocentro ofensivo;Chorrillo FC;176.0;8.0;2.0;1.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.0;6.0;2.0;5.0;0.0;4.0;4.0;2.0;13.0;83.0;58.0;19.0;0.0;0.0;42.0;4.0;1.0;0.0
84111;355874;12882;Róbinson Aponzá;28;Colombia;Extremo izquierdo;Junior FC;156.0;8.0;0.0;0.0;7.0;4.0;1.0;2.0;1.0;3.0;1.0;2.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;12.0;55.0;48.0;23.0;2.0;0.0;23.0;2.0;1.0;0.0
84111;355874;12882;Róbinson Aponzá;28;Colombia;Extremo izquierdo;Junior FC;614.0;12.0;6.0;1.0;16.0;4.0;9.0;3.0;2.0;11.0;1.0;0.0;11.0;0.0;0.0;0.0;6.0;7.0;3.0;0.0;3.0;0.0;11.0;22.0;0.0;40.0;217.0;173.0;75.0;7.0;5.0;74.0;8.0;1.0;0.0
147097;819195;12882;César Mena;28;Colombia;Defensa central;Patriotas;180.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;5.0;2.0;0.0;2.0;1.0;3.0;1.0;76.0;69.0;3.0;10.0;0.0;3.0;0.0;0.0;0.0
82577;38024;12950;Julio Landauri;31;Perú;Extremo izquierdo;Alianza Lima;72.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
485576;842732;12882;Óscar Franco;24;Paraguay;Delantero centro;Atl. Nacional;220.0;6.0;2.0;1.0;7.0;3.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;3.0;5.0;2.0;39.0;25.0;8.0;0.0;0.0;22.0;2.0;2.0;0.0
