tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
965846;1170640;57741;César Inga;22;Perú;Lateral izquierdo;AD Tarma;2309;32;24;0;38;7;14;17;5;24;3;0;25;0;0;0;0;34;13;36;14;1;7;15;20;74;833;637;178;53;11;313;13;0;0
68747;249137;63769;Diego Churín;34;Argentina;Delantero centro;Cerro Porteño;617;19;4;1;11;4;5;2;0;7;1;0;6;0;0;0;1;9;2;7;0;0;20;15;28;30;224;143;57;6;1;138;8;7;0
68747;249137;57296;Diego Churín;34;Argentina;Delantero centro;Cerro Porteño;332;5;4;0;5;1;2;2;0;1;0;0;2;0;0;0;4;2;0;1;0;0;10;17;15;19;73;36;13;1;1;58;6;1;0
68747;249137;57297;Diego Churín;34;Argentina;Delantero centro;Cerro Porteño;122;2;2;0;1;0;1;0;0;0;0;1;0;0;1;0;1;3;0;0;1;0;4;2;4;5;28;18;2;0;0;14;3;0;0
655639;976933;57741;Paolo Reyna;22;Perú;Lateral izquierdo;FBC Melgar;2194;27;25;1;14;5;4;5;2;21;3;1;9;0;0;0;0;59;36;39;11;0;29;17;28;85;747;569;196;40;14;301;7;0;1
203385;590312;57741;Gabriel Costa;34;Perú;Extremo derecho;Alianza Lima;844;24;8;2;14;5;7;2;1;22;3;0;5;0;0;0;0;16;1;2;8;0;11;17;3;38;387;315;117;20;9;142;11;3;0
729032;1017480;58156;José Carabalí;27;Ecuador;Lateral izquierdo;Nagoya Grampus;857;13;9;0;16;5;7;4;0;12;5;0;25;0;0;0;5;9;6;2;7;0;7;13;16;47;272;195;82;13;9;190;9;2;0
729032;1017480;57297;José Carabalí;27;Ecuador;Lateral izquierdo;Nagoya Grampus;708;8;8;1;9;4;3;2;0;16;2;1;17;0;0;0;4;7;8;3;3;0;6;11;8;35;211;173;64;0;6;107;9;2;0
194998;176139;57741;Edison Flores;30;Perú;Extremo izquierdo;Atlas;2149;32;29;9;72;23;29;20;6;38;2;4;11;1;0;0;10;23;7;6;11;0;29;29;19;63;499;369;169;16;8;241;20;5;0
323432;542636;57741;Jairo Vélez;29;Ecuador;Mediocentro ofensivo;César Vallejo;2729;31;30;10;84;31;30;23;5;62;6;3;47;2;2;1;2;38;6;8;13;0;43;61;21;145;998;742;313;55;40;633;65;6;0
626179;927690;57741;Matías Succar;25;Perú;Delantero centro;CA Mannucci;1726;27;20;4;49;20;23;6;2;14;2;6;3;1;1;1;6;15;1;18;7;0;37;38;26;56;314;227;96;7;4;202;27;2;0
2989;338;57741;Paolo Guerrero;40;Perú;Delantero centro;César Vallejo;933;14;11;7;30;16;9;5;2;15;2;4;4;2;1;1;5;2;2;9;0;0;15;18;25;24;218;157;72;4;0;103;16;3;0
250437;589448;57741;Jean Pierre Archimbaud;29;Perú;Pivote;FBC Melgar;1914;29;24;12;52;26;20;6;1;19;2;7;2;1;0;0;8;25;14;24;6;1;25;11;33;37;637;500;148;61;5;186;6;4;0
266451;338957;58766;Eryc Castillo;29;Ecuador;Extremo derecho;EC Vitória;266;9;1;1;3;1;1;1;0;1;0;0;5;0;0;0;2;2;0;3;2;0;3;2;5;9;45;36;15;0;1;38;3;0;0
266451;338957;59015;Eryc Castillo;29;Ecuador;Extremo derecho;EC Vitória;118;6;0;0;3;0;2;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;4;0;0;2;22;16;6;0;1;14;1;1;0
266451;338957;57252;Eryc Castillo;29;Ecuador;Extremo derecho;EC Vitória;156;3;2;0;3;0;0;0;0;0;0;0;4;0;0;0;2;0;0;1;1;0;1;5;2;0;28;22;0;0;3;0;0;0;0
177690;247665;58766;Miguel Trauco;31;Perú;Lateral izquierdo;Criciúma;1469;24;17;2;12;4;5;3;0;10;1;0;8;0;0;0;0;34;9;47;16;0;16;3;14;44;666;486;122;52;5;264;1;3;1
177690;247665;57072;Miguel Trauco;31;Perú;Lateral izquierdo;Criciúma;435;8;4;0;1;0;0;2;0;5;0;0;2;0;0;0;0;0;0;4;15;0;10;2;6;0;239;208;32;20;3;0;0;2;0
147263;106461;58043;Fernando Gaibor;32;Ecuador;Mediocentro;Barcelona SC;1166;22;13;0;5;2;3;0;3;24;2;0;6;0;0;0;0;19;8;6;9;0;22;13;6;38;626;519;165;42;3;188;14;2;0
159773;146599;57374;Pablo Ceppelini;32;Uruguay;Mediocentro ofensivo;Atl. Nacional;1121;14;13;2;17;6;4;7;4;43;6;2;3;0;0;0;1;11;8;4;12;0;10;17;7;31;609;482;210;32;32;222;8;4;0
159773;146599;63819;Pablo Ceppelini;32;Uruguay;Mediocentro ofensivo;Atl. Nacional;863;24;7;0;14;4;6;4;2;34;2;0;3;0;0;0;0;11;3;4;10;0;11;11;3;25;471;395;153;29;23;137;3;2;0
196037;340077;57741;Pablo Lavandeira;34;Uruguay;Mediocentro ofensivo;FBC Melgar;707;19;7;2;33;11;11;11;2;26;4;6;7;0;1;1;1;11;2;2;5;0;8;13;2;31;236;185;101;19;10;121;12;3;0
480523;876927;57741;Aldair Fuentes;26;Perú;Defensa central;CF Fuenlabrada;525;14;6;1;5;2;3;0;0;1;0;0;0;0;0;0;1;14;8;21;3;0;9;3;13;17;257;222;5;11;0;41;4;1;0
723853;1020375;57741;Erick Noriega;22;Perú;Defensa central;Comerciantes;2708;32;31;1;22;9;10;3;1;11;1;0;24;0;0;0;3;57;36;88;8;1;44;22;43;103;1240;986;167;136;4;344;21;7;1
953990;943712;57478;Guillermo Enrique;24;Argentina;Lateral derecho;Gimnasia;315;6;5;0;2;0;2;0;0;3;2;0;1;0;0;0;0;11;6;12;4;0;2;0;5;12;77;45;5;4;2;72;4;1;0
953990;943712;57487;Guillermo Enrique;24;Argentina;Lateral derecho;Gimnasia;247;5;2;0;2;1;0;1;0;4;0;0;5;0;0;0;0;7;3;9;1;0;2;5;7;16;80;47;21;6;4;64;3;1;0
439631;876929;57297;Kevin Quevedo;27;Perú;Extremo izquierdo;Uni. Católica;262;6;3;0;3;0;2;1;1;2;1;0;2;0;0;0;1;2;3;9;2;0;0;7;4;11;73;56;26;0;3;36;4;0;0
439631;876929;58043;Kevin Quevedo;27;Perú;Extremo izquierdo;Uni. Católica;738;14;8;2;19;12;4;3;1;13;2;2;7;0;1;0;1;3;1;2;4;1;8;7;1;17;240;200;72;8;5;79;6;2;0
836494;1084961;57487;Alan Cantero;26;Argentina;Extremo izquierdo;Godoy Cruz;830;14;11;4;19;9;6;4;2;14;4;2;29;0;0;0;0;9;0;9;7;0;8;24;5;62;192;138;60;3;0;138;16;0;0
836494;1084961;57478;Alan Cantero;26;Argentina;Extremo izquierdo;Godoy Cruz;852;16;10;1;17;3;9;5;1;7;1;1;21;0;0;0;0;9;0;7;2;0;5;25;16;55;164;121;40;5;0;154;34;2;0
315761;818401;57741;Pierre da Silva;25;Estados Unidos;Extremo izquierdo;César Vallejo;1588;26;20;1;29;8;5;16;1;22;3;0;29;0;0;0;1;21;9;12;7;0;29;38;16;88;493;368;109;19;18;268;23;6;0
547021;949793;57741;Alessandro Milesi;24;Perú;Lateral izquierdo;Alianza Atl.;1815;26;21;0;19;5;10;4;2;20;2;1;10;0;0;0;0;29;19;41;5;0;30;12;21;50;485;337;107;23;17;262;14;5;0
655641;976931;57741;Carlos Gamarra;24;Perú;Defensa central;Los Chankas;2573;30;28;1;10;3;6;1;1;7;1;0;6;0;0;0;0;53;19;120;20;1;21;11;47;70;852;641;60;107;1;237;5;6;0
738710;1016982;57741;Marlon Ruidías;25;Perú;Lateral derecho;Los Chankas;2405;32;30;4;24;11;6;7;3;16;4;0;15;0;0;0;1;42;17;31;24;2;40;19;8;76;944;760;237;74;8;311;18;5;1
351561;831183;57741;Carlo Diez;28;Perú;Pivote;Dep. Garcilaso;2869;34;33;1;17;8;7;2;0;13;0;0;11;0;0;0;2;42;27;27;16;2;36;42;19;95;845;666;159;53;5;249;16;5;0
195002;175977;57741;Álvaro Ampuero;31;Perú;Lateral izquierdo;Atlético Grau;1354;20;15;0;8;3;4;1;1;2;0;1;6;0;0;0;0;19;9;49;3;2;17;8;37;33;649;512;42;41;2;159;7;6;0
268031;325609;57297;Facundo Callejo;31;Argentina;Delantero centro;SD Aucas;393;5;5;1;13;4;6;3;0;8;1;0;0;0;0;0;2;2;2;2;2;0;3;2;7;4;71;50;19;4;3;52;5;0;0
268031;325609;58043;Facundo Callejo;31;Argentina;Delantero centro;SD Aucas;395;14;3;3;26;9;11;6;0;5;0;2;3;0;0;0;2;1;1;5;2;0;2;1;10;5;72;49;15;1;4;41;0;1;0
268031;325609;58156;Facundo Callejo;31;Argentina;Delantero centro;SD Aucas;838;12;9;4;32;13;13;6;2;16;3;2;2;0;0;0;7;7;2;5;2;0;9;6;19;15;191;133;54;11;8;105;3;2;0
528367;893067;57741;Marco Saravia;25;Perú;Defensa central;Universitario;31;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0;0;0;0;2;19;17;5;4;0;2;0;0;0
871653;1107917;57741;Piero Guzmán;24;Perú;Defensa central;Universitario;691;13;7;1;5;1;3;1;0;1;0;0;2;0;0;0;1;8;5;44;1;1;4;3;14;13;368;312;9;30;0;63;1;1;0
747666;1464243;57694;Alex Custodio;20;Venezuela;Lateral derecho;Dep. La Guaira;2335;28;26;4;10;4;6;0;1;6;0;0;2;0;0;0;0;30;29;71;9;0;31;23;32;55;1053;873;123;65;3;215;5;5;0
292729;384658;57741;Alexis Cossio;29;Perú;Lateral izquierdo;CA Mannucci;1244;23;14;0;19;3;12;4;2;13;1;1;5;0;0;0;1;20;21;31;9;0;19;16;10;41;378;275;64;21;10;211;10;4;0
851121;1096363;58156;Agustín Graneros;28;Argentina;Delantero centro;Real Tomayapo;3202;37;37;15;115;55;44;16;5;72;5;6;32;4;3;2;31;32;12;21;9;0;49;59;20;123;706;517;233;20;29;460;37;5;0
653484;975241;57741;Erick Perleche;23;Perú;Lateral derecho;Dep. Garcilaso;1281;22;14;1;9;3;6;0;0;13;0;1;6;0;0;0;0;23;23;25;7;0;21;12;7;41;351;273;97;18;8;145;5;4;0
857805;1107889;57741;Jimmy Pérez;23;Perú;Mediocentro;UTC;2207;34;24;4;40;12;18;10;1;28;0;1;16;1;0;0;1;26;14;10;13;0;22;43;3;85;782;658;193;31;16;263;22;3;0
332776;760636;57741;Anthony Gordillo;30;Perú;Lateral izquierdo;Dep. Garcilaso;1742;26;20;1;25;5;15;5;3;28;2;0;7;0;0;0;2;33;27;35;4;0;18;20;16;59;470;327;91;38;18;262;7;4;0
360446;789416;57741;Federico Illanes;30;Argentina;Pivote;Rangers;2758;31;31;0;5;1;3;1;1;6;0;0;6;0;0;0;2;64;19;32;23;1;51;16;22;85;887;724;80;75;1;202;11;7;1
483715;883812;57741;Renato Espinosa;25;Perú;Delantero centro;Sport Huancayo;1039;24;10;8;32;15;14;3;0;11;0;3;2;0;0;0;13;8;7;5;3;0;12;20;15;30;199;133;51;8;3;116;11;2;0
440020;874986;57741;Frank Ysique;28;Perú;Pivote;César Vallejo;2414;30;28;0;9;2;3;4;1;25;0;0;4;0;0;0;0;37;33;23;27;0;20;32;13;73;1403;1242;264;79;1;211;17;5;1
908300;1018414;57478;Gregorio Rodríguez;24;Argentina;Extremo derecho;Instituto ACC;1215;26;13;4;29;10;10;9;1;20;5;1;19;0;0;0;3;15;3;3;8;0;7;8;11;42;215;165;68;1;18;191;15;2;0
118756;140103;57478;Pier Barrios;34;Argentina;Defensa central;Godoy Cruz;1887;21;21;0;6;3;3;0;0;3;0;0;0;0;0;0;2;25;23;99;10;1;25;18;34;43;825;627;55;58;1;217;1;3;1
118756;140103;57487;Pier Barrios;34;Argentina;Defensa central;Godoy Cruz;1069;12;12;0;6;0;5;1;0;2;0;0;1;0;0;0;0;19;19;49;4;0;11;9;29;29;540;453;34;38;4;106;5;3;0
332252;800243;57782;Facundo Castro;28;Argentina;Delantero centro;Nueva Chicago;3051;39;36;12;62;27;0;5;1;15;0;0;42;0;3;3;30;0;0;24;19;0;59;41;56;0;462;330;31;10;4;0;0;9;0
665113;975919;57741;Percy Liza;24;Perú;Delantero centro;CA Mannucci;1093;27;9;1;18;7;11;0;3;16;3;2;11;0;0;0;1;7;2;5;2;0;31;26;19;44;225;171;61;6;2;126;17;2;2
491570;922871;57741;Nelson Cabanillas;24;Perú;Lateral izquierdo;Universitario;1276;27;16;0;8;5;2;1;2;21;3;0;11;0;0;0;1;28;14;15;11;0;14;22;10;61;498;363;110;22;23;272;11;4;0
302416;365990;57741;Leonel González;30;Argentina;Defensa central;Godoy Cruz;2688;30;30;0;12;3;7;2;0;7;1;1;15;0;1;0;1;41;39;82;11;0;29;27;44;83;1234;985;117;171;2;331;8;4;2
399206;815133;58156;Matías Noble;27;Argentina;Interior izquierdo;Real Tomayapo;1544;18;17;4;38;16;15;7;5;42;4;1;20;0;0;0;2;24;6;17;17;0;15;25;13;69;584;453;149;34;34;306;15;4;0
399206;815133;57297;Matías Noble;27;Argentina;Interior izquierdo;Real Tomayapo;516;6;6;1;6;2;4;0;0;9;0;0;3;0;0;0;2;10;2;6;4;1;8;5;3;18;143;101;29;11;4;92;8;1;0
662705;989259;57741;Mathías Llontop;22;Perú;Lateral izquierdo;CA Mannucci;2330;30;26;0;8;1;3;4;1;16;1;0;4;0;0;0;1;35;34;70;20;1;19;18;19;57;629;442;110;29;7;331;4;7;0
626916;960016;47647;Lautaro Guzmán;24;Argentina;Extremo izquierdo;Arsenal;1880;27;22;2;38;12;18;8;3;26;6;3;41;0;2;1;6;24;12;6;31;0;14;54;7;118;542;396;167;25;34;377;42;2;0
400051;883287;57741;Johan Madrid;27;Perú;Lateral derecho;César Vallejo;2822;33;32;1;21;3;11;7;2;29;1;0;15;1;0;0;2;43;43;69;15;0;18;34;33;91;1196;902;174;123;20;506;21;6;1
