tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
426325;819114;40320;Pablo Sabbag;25;Siria;Delantero centro;CD La Equidad;1737;24;20;7;70;25;26;19;3;28;5;4;30;1;3;3;13;13;6;6;10;1;34;39;34;82;337;226;117;6;0;273;27;4;1
426325;819114;42387;Pablo Sabbag;25;Siria;Delantero centro;CD La Equidad;1482;20;17;8;54;23;22;9;3;19;5;3;14;0;3;3;8;14;2;6;6;0;25;22;28;50;324;214;88;8;2;218;32;4;0
440312;883747;40118;Bryan Reyna;23;Perú;Extremo izquierdo;AD Cantolao;2136;27;24;6;52;24;21;7;3;26;5;9;94;1;1;1;4;31;11;7;9;0;38;66;15;191;606;460;223;15;4;409;71;10;1
203385;590312;40515;Gabriel Costa;32;Perú;Extremo derecho;Colo-Colo;1709;24;23;10;50;22;15;13;4;51;7;8;23;1;6;5;2;36;9;3;24;0;26;21;10;80;597;464;223;18;25;324;41;8;2
90489;121657;40515;Santiago García;33;Argentina;Defensa central;La Calera;1227;14;14;0;4;1;1;2;2;5;2;0;2;0;0;0;0;33;40;43;13;0;12;13;20;48;817;683;77;72;2;157;4;3;1
420866;883746;40118;Ítalo Espinoza;26;Perú;Portero;Ayacucho FC;540;6;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;2;146;92;14;44;0;55;0;2;0
250004;312270;40118;Édinson Chávez;28;Perú;Lateral derecho;Ayacucho FC;1325;18;15;0;8;3;4;1;1;18;2;0;6;0;0;0;1;32;24;16;36;0;31;14;3;52;514;369;128;36;16;258;10;5;2
582655;978543;40118;Jesús Castillo;26;Perú;Pivote;AD Cantolao;1747;29;21;2;11;7;2;2;0;20;0;1;8;0;0;0;1;48;26;17;18;0;33;17;17;73;1159;965;318;110;4;261;13;6;0
53533;31611;41884;Carlos Zambrano;32;Perú;Defensa central;Boca Juniors;1428;18;16;0;5;1;2;2;0;1;0;0;3;0;0;0;0;32;18;61;5;0;29;18;44;52;815;672;33;57;0;154;2;8;1
138110;129520;40118;Gino Peruzzi;30;Argentina;Lateral derecho;San Lorenzo;1522;17;17;1;6;3;2;1;4;16;4;0;1;0;0;0;0;34;17;43;9;0;25;31;9;66;505;416;88;32;10;169;7;4;0
120093;248065;40320;Andrés Andrade;33;Colombia;Extremo izquierdo;Atl. Nacional;1363;24;17;3;26;7;11;8;3;28;1;1;22;0;0;0;1;19;9;7;12;0;22;23;8;64;683;568;177;34;5;243;29;6;0
120093;248065;42387;Andrés Andrade;33;Colombia;Extremo izquierdo;Atl. Nacional;902;18;11;1;15;6;7;2;2;17;2;0;16;0;0;0;2;14;9;3;5;0;12;16;5;46;469;392;135;29;7;151;17;2;0
95280;47447;44908;Christian Cueva;30;Perú;Mediocentro ofensivo;Al-Fateh;672;9;8;0;9;3;4;2;3;20;3;2;12;0;1;0;4;6;3;1;4;0;6;8;1;26;353;281;118;10;12;146;13;0;0
866488;1107888;40118;Jostin Alarcón;19;Perú;Extremo izquierdo;Sport Boys;2102;28;23;5;53;14;29;10;6;25;5;1;32;1;2;1;9;30;11;7;14;0;25;56;5;118;678;569;214;30;11;294;50;6;1
435046;840208;40560;Brenner;28;Brasil;Delantero centro;Ituano;582;9;7;3;13;5;4;4;2;11;2;0;1;0;0;0;1;7;0;3;1;0;12;11;7;19;118;93;32;12;0;47;8;0;0
810550;1065267;40118;Adrián Ascues;19;Perú;Mediocentro;Dep. Municipal;2120;31;28;10;52;15;22;15;2;36;3;1;41;1;4;4;4;32;9;9;17;0;36;50;7;123;830;641;239;47;17;406;62;5;0
624291;958382;40560;Ignácio;25;Brasil;Defensa central;EC Bahia;3061;35;35;3;15;5;5;5;1;10;0;1;6;0;0;0;2;51;45;115;8;0;39;32;46;88;1504;1247;104;77;0;301;16;6;1
325726;846366;40118;Adrián Ugarriza;25;Perú;Delantero centro;Cienciano;2187;28;26;10;87;31;38;18;3;27;2;10;41;0;2;1;12;16;11;14;16;0;29;59;36;115;470;336;162;10;1;302;44;5;1
