tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
82589;133862;27096;Írven Ávila;29;Perú;Delantero centro;FBC Melgar;1198;24;14;5;37;13;17;7;2;19;4;7;14;0;0;0;30;8;2;7;4;0;23;29;32;47;438;342;152;7;4;175;16;2;0
267638;790008;26785;Marcos Riquelme;32;Argentina;Delantero centro;Bolívar;360;4;4;3;21;8;10;3;0;1;0;3;2;0;0;0;8;1;2;2;3;0;4;2;8;5;47;30;12;2;1;26;0;0;0
267638;790008;26788;Marcos Riquelme;32;Argentina;Delantero centro;Bolívar;359;4;4;3;19;7;9;3;0;6;1;1;4;0;0;0;0;2;0;3;1;0;5;4;20;10;70;45;21;1;0;42;1;1;0
212434;830663;27096;Alejandro Hohberg;28;Perú;Extremo izquierdo;Universitario;2113;26;24;13;84;32;35;17;7;44;9;2;20;1;7;6;15;28;10;6;9;0;29;49;13;97;802;621;292;47;39;431;26;3;1
100497;46980;22328;Alejandro González;32;Uruguay;Defensa central;Defensor SC;572;7;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;14;23;3;0;3;5;15;13;275;212;15;23;0;70;0;1;0
207246;249403;25114;Martín Pérez Guedes;28;Argentina;Mediocentro;Gimnasia (J);815;18;7;3;24;8;11;5;2;12;0;2;18;1;2;2;1;5;11;4;3;1;10;17;9;40;491;410;113;34;7;155;7;4;0
814240;931227;26956;Carlos Monges;23;Paraguay;Delantero centro;3 de Febrero;329;9;4;1;9;4;5;0;0;9;0;3;1;0;0;0;1;1;0;3;1;0;3;6;4;8;68;56;21;0;0;29;3;0;0
443987;883743;27096;Junior Huerto;21;Perú;Lateral izquierdo;Sport. Cristal;344;7;5;0;0;0;0;0;1;1;0;0;1;0;0;0;0;11;3;5;7;1;7;2;4;14;177;142;32;14;0;56;1;1;0
621023;975924;27096;José Inga;20;Perú;Pivote;Sport. Cristal;194;8;3;0;1;0;0;1;0;3;0;0;0;0;0;0;1;3;1;1;1;0;9;10;1;13;78;66;22;3;0;29;8;1;0
224670;339177;22349;Rodrigo Cuba;28;Perú;Lateral derecho;Morelia;1047;17;11;2;11;3;7;1;3;19;3;1;4;0;0;0;3;23;18;24;9;0;13;8;37;34;354;260;65;24;8;172;2;1;0
