tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
522868;893536;53242;Diego Dorregaray;31;Argentina;Delantero centro;Nea Salamis;1260;14;13;7;30;15;0;1;0;3;0;0;11;0;4;3;10;0;0;15;17;0;22;27;40;0;148;103;5;11;0;0;0;4;0
490717;924783;48078;Jairo Concha;24;Perú;Mediocentro;Alianza Lima;2440;32;28;2;47;15;17;15;5;49;7;3;27;0;0;0;0;70;22;15;25;0;26;53;12;150;1212;971;333;91;38;409;23;3;0
159772;161675;48634;Sebastián Britos;35;Uruguay;Portero;Liverpool FC;3150;34;34;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;12;0;0;1;9;27;0;675;551;47;198;0;0;0;5;0
457058;895589;48078;Williams Riveros;30;Paraguay;Defensa central;Barcelona SC;2774;31;31;2;24;9;11;4;1;12;0;0;3;0;0;0;2;48;48;83;21;0;26;26;56;76;1064;881;59;96;0;203;5;10;1
527625;892669;48078;Christopher Olivares;24;Perú;Delantero centro;Cusco FC;1941;27;28;6;46;20;19;7;4;17;2;3;22;0;0;0;12;15;6;14;7;0;29;23;29;60;318;238;81;6;1;205;39;8;0
443717;846486;48720;Segundo Portocarrero;26;Ecuador;Lateral izquierdo;Barcelona SC;1629;26;16;1;11;3;5;3;2;12;2;1;17;0;0;0;2;15;23;18;9;0;32;43;26;75;486;367;83;23;15;245;13;3;1
194998;176139;42017;Edison Flores;29;Perú;Extremo izquierdo;Atlas;699;17;5;0;14;5;5;4;2;18;3;3;5;0;0;0;0;20;7;7;4;0;12;4;8;29;243;203;66;14;4;74;8;0;0
194998;176139;47656;Edison Flores;29;Perú;Extremo izquierdo;Atlas;126;5;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0;1;1;0;2;1;1;4;47;39;17;1;2;22;1;0;0
76599;47435;47647;Martín Cauteruccio;36;Uruguay;Delantero centro;Independiente;2148;27;24;11;42;21;14;7;1;20;4;5;21;0;7;6;25;10;7;17;13;0;15;16;36;47;408;298;121;5;5;205;30;0;0
270987;295161;47647;Nicolás Pasquini;32;Argentina;Lateral izquierdo;Talleres;601;8;7;0;0;0;0;0;0;1;0;0;1;0;0;0;0;9;6;11;5;0;4;1;6;11;228;169;40;13;1;84;0;2;0
597455;937859;48079;Santiago González;23;Argentina;Extremo derecho;Dep. Maipú;3369;38;37;8;67;27;0;1;6;73;0;0;159;0;0;0;23;0;0;9;55;0;52;53;10;0;1065;746;64;42;63;0;0;3;1
520457;892073;49058;Gustavo Cazonatti;26;Brasil;Pivote;Tombense;2200;29;26;3;19;7;9;3;1;14;0;1;10;0;0;0;0;71;33;32;9;0;59;49;39;130;967;822;134;45;1;199;12;11;2
196037;340077;40118;Pablo Lavandeira;33;Uruguay;Mediocentro ofensivo;Alianza Lima;2649;35;30;11;61;30;22;9;10;77;9;4;34;0;2;2;6;37;22;9;19;0;44;67;22;136;921;645;261;37;73;656;55;3;0
483714;883296;48078;Kevin Sandoval;26;Perú;Extremo izquierdo;Cienciano;1347;19;16;3;39;15;14;10;4;38;6;1;28;0;1;0;3;12;4;2;13;0;9;46;6;86;473;374;138;32;25;252;32;1;0
302416;365990;47647;Leonel González;29;Argentina;Defensa central;Godoy Cruz;384;7;5;0;4;0;4;0;0;1;0;0;7;0;0;0;0;5;6;16;3;1;1;0;7;12;296;238;28;26;1;75;2;1;0
530444;941410;48017;Brian Blando;28;Argentina;Delantero centro;Lanús;922;14;10;5;32;14;13;5;1;14;1;1;6;0;1;1;2;6;1;3;0;0;14;17;10;29;160;114;63;2;3;110;12;4;0
530444;941410;47647;Brian Blando;28;Argentina;Delantero centro;Lanús;61;4;0;0;1;0;1;0;0;3;1;0;1;0;0;0;0;4;0;0;0;0;2;0;4;5;19;12;9;0;0;20;3;0;0
283386;332777;47647;Lucas Diarte;30;Argentina;Lateral izquierdo;Belgrano;970;20;10;1;7;2;4;1;0;12;0;0;5;0;0;0;0;26;10;19;10;1;14;11;7;41;323;217;66;13;13;191;6;5;0
741728;1017760;48078;Jhamir D'Arrigo;23;Perú;Extremo izquierdo;FBC Melgar;1905;31;19;1;20;8;5;7;2;31;4;3;53;1;1;0;5;27;13;15;10;1;26;26;5;106;602;485;213;14;15;358;40;3;0
745927;981374;48078;Kevin Serna;25;Colombia;Extremo derecho;AD Tarma;3239;36;36;6;84;35;29;20;8;55;11;3;139;1;0;0;5;54;17;29;14;0;33;66;26;259;579;384;203;17;40;660;100;3;0
628750;962187;48017;Juan Pablo Freytes;23;Argentina;Defensa central;Newell's;1801;24;19;2;15;5;8;2;0;6;2;0;7;0;0;0;0;29;31;92;11;0;14;6;34;42;943;651;108;120;3;369;1;6;0
335677;874985;48078;Renzo Garcés;27;Perú;Defensa central;César Vallejo;2638;30;30;0;10;1;8;1;0;2;0;2;13;1;0;0;1;38;38;122;5;1;34;51;41;102;1537;1332;93;192;0;230;3;7;2
358016;789372;48079;Adrián Arregui;30;Argentina;Pivote;Temperley;3060;33;33;6;39;11;0;18;1;7;0;0;20;0;0;0;5;0;0;52;78;0;52;29;115;0;1320;1063;103;73;3;0;0;12;1
177064;159931;48017;Cecilio Waterman;32;Panamá;Delantero centro;Cobresal;2052;24;24;9;52;22;23;7;2;20;4;8;17;1;4;4;10;5;0;20;4;0;12;12;43;34;498;378;137;21;0;211;24;8;0
131114;47418;48634;Sebastián Rodríguez;30;Uruguay;Mediocentro;Peñarol;3390;37;36;7;54;13;0;2;5;70;0;0;49;0;5;5;0;0;0;15;66;0;36;26;19;0;1952;1686;305;90;10;0;0;10;1
818499;931776;48078;Cristian Neira;22;Perú;Mediocentro ofensivo;Unión Comercio;2304;31;28;4;50;18;21;11;4;49;5;3;42;0;0;0;5;13;9;0;12;0;34;68;5;123;1060;897;320;66;26;351;47;3;1
837617;1090720;48078;Marco Huamán;20;Perú;Lateral derecho;Sport Huancayo;2215;25;25;1;19;6;4;9;2;17;4;3;22;1;0;0;3;43;27;33;23;0;18;45;18;110;1077;891;246;74;9;319;22;3;0
657791;944825;52769;Jeriel de Santis;21;Venezuela;Delantero centro;Boavista;164;12;0;0;3;0;1;2;1;3;1;1;1;1;0;0;3;0;0;1;2;0;13;4;5;5;37;28;14;0;0;33;4;2;0
1011264;1415942;47647;Catriel Cabellos;18;Perú;Mediocentro;Racing;121;5;0;0;0;0;0;0;1;4;2;0;6;0;0;0;0;1;0;1;3;0;3;3;0;10;59;45;19;2;0;27;3;1;0
480523;876927;48078;Aldair Fuentes;25;Perú;Defensa central;CF Fuenlabrada;1812;28;18;2;30;6;20;4;1;16;1;0;6;0;0;0;2;28;26;32;24;0;42;36;46;70;776;634;145;40;4;212;24;7;1
403809;1006509;48742;Jiovany Ramos;26;Panamá;Defensa central;Independiente;2360;29;26;2;17;4;9;4;3;12;3;0;20;0;0;0;1;66;41;58;28;0;37;17;41;103;1287;1068;193;135;1;261;5;11;1
308810;312208;48742;Rubén Ramírez;27;Venezuela;Defensa central;Monagas SC;1939;23;21;0;6;1;4;1;1;11;0;1;6;0;0;0;1;25;23;63;15;0;19;18;49;49;903;701;101;77;1;237;5;3;0
250672;339533;48078;Carlos Solís;32;Perú;Portero;Carlos Stein;900;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;1;0;1;234;148;13;65;0;91;0;1;0
210553;923196;48079;Juan Manuel Tévez;35;Argentina;Delantero centro;Gimnasia (J);2519;34;27;6;34;18;0;6;1;19;0;0;26;0;3;1;18;0;0;16;9;0;35;33;91;0;375;241;26;10;7;0;0;2;0
329212;586956;47647;Lucas Colitto;29;Argentina;Extremo izquierdo;Barracas;818;15;9;0;17;5;5;7;0;12;1;0;13;1;0;0;1;12;7;2;13;0;10;13;3;38;292;217;76;10;9;156;12;2;0
661480;974006;48017;Pablo Cárdenas;23;Perú;Lateral derecho;Cobresal;389;8;3;1;3;1;2;0;0;3;2;0;5;0;0;0;1;16;12;9;6;0;2;8;5;29;156;112;39;8;1;94;6;0;0
664864;882897;48078;Alonso Tamariz;25;Perú;Lateral izquierdo;AD Cantolao;2288;30;26;0;2;0;1;1;0;11;1;0;14;0;0;0;0;46;31;36;9;1;36;21;18;80;581;453;98;30;3;242;17;6;0
1102800;1466374;48078;Eslyn Correa;18;Perú;Mediocentro;Dep. Municipal;633;12;9;0;6;1;3;2;0;5;1;0;1;0;0;0;0;6;6;2;7;0;9;9;6;16;200;165;47;3;0;52;5;1;0
654298;973566;48078;Oswaldo Valenzuela;22;Perú;Pivote;Alianza Lima;472;15;5;0;2;0;2;0;0;2;1;0;1;0;0;0;0;10;6;4;5;0;11;2;4;13;128;94;14;6;0;41;1;3;0
981706;1176979;48078;Jhosep Núñez;19;Perú;Extremo izquierdo;Dep. Municipal;1576;25;16;3;37;12;14;11;3;13;2;0;30;0;0;0;3;26;5;5;13;0;36;56;2;112;352;247;105;17;13;220;25;7;0
422914;830880;48079;Nicolás Silva;33;Argentina;Extremo derecho;Chaco For Ever;1773;29;19;4;34;14;0;1;1;20;0;0;69;0;0;0;3;0;0;7;25;0;4;39;4;0;445;314;25;9;11;0;0;2;0
380603;829029;48079;Iván Colman;28;Argentina;Mediocentro ofensivo;Quilmes;2440;34;31;4;25;10;0;0;3;30;0;0;33;0;1;1;2;0;0;14;56;0;34;36;36;0;1147;911;158;103;18;0;0;8;0
687529;984107;48078;Luis Ramos;23;Perú;Delantero centro;Los Chankas;505;14;3;2;17;7;7;3;0;6;0;1;5;0;1;1;5;0;1;2;1;0;7;12;16;17;100;56;32;1;0;82;8;1;0
480527;973681;48078;Rely Fernández;25;Perú;Extremo derecho;UTC;1519;31;20;3;21;7;10;4;0;17;0;3;11;1;0;0;2;46;13;4;9;0;27;33;12;89;342;264;95;16;8;236;33;2;0
146292;932870;48079;Alan Pérez;32;Argentina;Defensa central;Temperley;3420;37;37;1;11;4;0;18;1;6;0;0;18;0;0;0;0;0;0;83;65;0;34;14;97;0;1243;925;167;208;3;0;0;9;1
894880;1415941;48078;André Vasquez;20;Perú;Mediocentro ofensivo;FBC Melgar;44;4;0;0;4;2;2;0;0;1;0;0;1;0;0;0;0;4;0;0;0;0;1;1;0;6;36;30;23;2;1;11;1;0;0
533569;895338;48079;Fernando Bersano;25;Argentina;Lateral izquierdo;Talleres;1740;19;18;1;24;3;0;2;1;27;0;0;29;0;0;0;1;0;0;28;53;0;12;19;24;0;630;406;53;54;23;0;0;0;0
140931;107596;48720;John Narváez;32;Ecuador;Defensa central;Guayaquil City;1159;23;13;0;4;0;4;0;0;4;0;0;6;0;0;0;0;54;17;51;10;2;26;12;4;72;486;372;33;44;0;152;7;4;0
656911;1098312;48283;Luis Pérez;27;Colombia;Mediocentro;Once Caldas;1488;18;17;0;13;6;3;4;0;20;0;0;7;0;0;0;0;31;22;17;16;0;24;13;29;51;696;567;127;47;3;193;5;3;0
656911;1098312;52847;Luis Pérez;27;Colombia;Mediocentro;Once Caldas;1454;17;17;0;18;8;5;5;1;19;2;1;6;0;0;0;0;24;12;23;11;0;21;4;28;34;763;619;134;53;2;222;12;4;0
