tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
147133;345747;15806;Joaquín Lencinas;30;Argentina;Defensa central;Monagas SC;360;4;4;0;2;0;2;0;0;0;0;0;1;0;0;0;0;9;14;12;3;0;3;4;5;13;89;65;10;9;0;29;2;2;0
54594;790020;16007;Diego Manicero;33;Argentina;Mediocentro ofensivo;Universitario;2156;28;24;5;64;17;27;20;3;55;10;3;41;1;1;0;5;13;8;8;16;0;23;42;10;95;740;534;258;51;28;447;32;2;1
250482;805353;16007;Joao Villamarín;26;Perú;Extremo izquierdo;FBC Melgar;993;26;9;5;32;14;9;9;0;12;0;6;11;0;0;0;16;6;4;8;6;0;25;22;7;38;284;224;68;6;2;129;14;5;1
67218;105848;15809;Pablo de Miranda;32;Argentina;Defensa central;Blooming;180;2;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;5;17;1;0;3;5;1;8;85;66;5;8;0;21;0;0;0
94766;46983;16007;Renzo Sheput;37;Perú;Mediocentro ofensivo;Sport Boys;478;9;7;1;10;5;3;2;0;5;1;0;10;0;0;0;1;3;0;2;7;0;4;8;1;21;276;210;50;18;5;103;5;0;1
214624;345787;16007;Josimar Vargas;28;Perú;Pivote;Sport Boys;268;6;5;0;3;0;2;1;0;2;0;0;1;0;0;0;0;8;7;6;4;0;6;5;0;14;121;98;15;6;0;26;1;2;0
186903;248229;16007;Jean Piere Fuentes;26;Perú;Pivote;FBC Melgar;1586;25;16;0;27;4;14;9;0;3;2;1;5;0;0;0;0;33;23;44;10;2;51;17;40;54;792;672;100;69;2;152;6;7;1
201397;34133;16007;Tulio Etchemaite;30;Argentina;Delantero centro;FBC Melgar;1825;26;23;13;86;33;34;19;2;26;3;6;17;0;5;5;14;11;5;9;11;0;25;32;27;58;444;300;136;30;8;275;33;5;2
434562;883279;16007;Ronaldo Andía;20;Perú;Lateral derecho;Rosario FC;2785;35;30;0;6;1;3;2;2;27;3;1;22;0;0;0;1;41;61;40;21;1;49;22;18;85;741;559;154;47;10;361;30;5;0
482452;922007;16044;Jimmy Valoyes;31;Colombia;Defensa central;CD Águila;1061;13;11;0;8;1;7;0;0;3;0;2;11;0;0;0;0;23;35;62;6;2;17;17;35;50;427;348;26;40;0;92;1;0;2
