tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
400964;822721;19990;Washington Corozo;20;Ecuador;Extremo izquierdo;Independiente;336.0;8.0;4.0;0.0;5.0;3.0;1.0;1.0;0.0;2.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;6.0;3.0;1.0;0.0;0.0;6.0;5.0;5.0;16.0;72.0;53.0;21.0;4.0;0.0;50.0;5.0;0.0;0.0
477378;883396;22349;Carlos Cabello;21;Perú;Lateral derecho;AD Cantolao;2681.0;30.0;30.0;5.0;16.0;11.0;3.0;2.0;2.0;23.0;3.0;2.0;46.0;0.0;0.0;0.0;2.0;102.0;62.0;57.0;36.0;3.0;54.0;38.0;17.0;186.0;973.0;731.0;208.0;41.0;10.0;451.0;31.0;8.0;0.0
443987;883743;22349;Junior Huerto;20;Perú;Lateral izquierdo;U. San Martín;2249.0;25.0;25.0;0.0;29.0;10.0;11.0;8.0;3.0;20.0;7.0;0.0;16.0;0.0;0.0;0.0;5.0;60.0;31.0;73.0;19.0;1.0;34.0;20.0;22.0;96.0;760.0;592.0;132.0;48.0;17.0;290.0;10.0;7.0;1.0
333025;805261;16007;Nilson Loyola;24;Perú;Lateral izquierdo;Goiás;2789.0;32.0;31.0;2.0;30.0;9.0;17.0;4.0;1.0;22.0;0.0;3.0;21.0;0.0;0.0;0.0;2.0;75.0;56.0;61.0;13.0;0.0;32.0;45.0;49.0;140.0;1293.0;1074.0;285.0;42.0;4.0;357.0;22.0;4.0;1.0
54594;790020;22349;Diego Manicero;34;Argentina;Mediocentro ofensivo;CA Mannucci;1271.0;23.0;14.0;1.0;35.0;9.0;15.0;11.0;1.0;28.0;2.0;1.0;17.0;0.0;0.0;0.0;3.0;12.0;8.0;9.0;12.0;0.0;7.0;17.0;7.0;44.0;388.0;260.0;100.0;16.0;24.0;294.0;23.0;0.0;0.0
82585;38017;22349;Jesús Rabanal;34;Perú;Lateral izquierdo;Unión Comercio;1622.0;20.0;18.0;2.0;6.0;2.0;4.0;0.0;0.0;2.0;0.0;1.0;9.0;1.0;0.0;0.0;3.0;21.0;33.0;69.0;17.0;2.0;20.0;14.0;45.0;42.0;679.0;499.0;64.0;75.0;1.0;211.0;3.0;7.0;1.0
92150;877603;24149;Luis Perea;32;Colombia;Delantero centro;HFX Wanderers;1379.0;18.0;15.0;2.0;15.0;5.0;7.0;3.0;0.0;8.0;1.0;4.0;10.0;0.0;0.0;0.0;2.0;19.0;18.0;53.0;8.0;1.0;41.0;19.0;97.0;47.0;485.0;330.0;52.0;23.0;0.0;194.0;10.0;5.0;0.0
214624;345787;22349;Josimar Vargas;29;Perú;Pivote;CA Mannucci;1980.0;24.0;23.0;0.0;9.0;2.0;5.0;2.0;2.0;17.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;35.0;32.0;32.0;21.0;1.0;30.0;57.0;30.0;95.0;654.0;489.0;95.0;52.0;0.0;239.0;8.0;5.0;1.0
470023;873706;22349;Brayan Guevara;21;Perú;Lateral izquierdo;UTC;727.0;16.0;9.0;0.0;11.0;5.0;2.0;4.0;2.0;8.0;3.0;2.0;15.0;1.0;0.0;0.0;0.0;20.0;4.0;0.0;10.0;0.0;7.0;8.0;3.0;43.0;125.0;96.0;39.0;7.0;4.0;87.0;12.0;2.0;0.0
160317;248215;22349;Óscar Guerra;34;Perú;Defensa central;Ayacucho FC;543.0;8.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;4.0;11.0;22.0;8.0;0.0;6.0;5.0;10.0;9.0;192.0;155.0;11.0;21.0;0.0;38.0;0.0;2.0;1.0
